application_system_id;application_system_hex_id;application_system_name;application_system_current_state;application_system_diagram_hex_id;application_system_diagram_description;interaction_id;interaction_name;from_application_id;from_application_hex_id;from_application_name;to_application_id;to_application_hex_id;to_application_name;middleware;middleware_id_0;middleware_name_0;middleware_id_1;middleware_name_1;middleware_id_2;middleware_name_2;middleware_id_3;middleware_name_3;interface_type;pan;pci_card_holder;privacy_flag
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;48B676795F996EDA;camt054;D5TQnuceSTpF;ECEB275263C543F8;CCMS;z3WAE9taTLkF;49774B2C63E23C50;Dynacos Payments;No;;;;;;;;;DATA FILE;No;No;Yes
mh3PP8dxXrs2;643A721961EE0B6D;Agnitas EMM Direct Mailing;Production;643A730461EE0C87;Agnitas EMM Direct Mailing Diagram;DCAAF0C8687D677A;Send Hardbounce letter;D5TQnuceSTpF;DCAAEF96687D6424;CCMS;yMABx2LsYHNC;2CA550BE62D93272;Cornèrcard Batch EMM;No;;;;;;;;;WS REST;No;No;Yes
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;615596365FD89A81;CCMS Logs;lM08ZJYeSfpI;1B47228464147C59;Splunk;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
r(3aPL9xZjcF;903F955963EC3E6B;Cornèr Partner Integration (CPI);Production;903F956863EC47C8;Cornèr Partner Integration Diagram;57BCE21C65018808;INT_ICA00xx-getTRXPANList;D5TQnuceSTpF;903F955763EC3D98;CCMS;6(H9MK4LYbFE;903F955763EC3D17;Cornèr Partner Integration (CPI);No;;;;;;;;;;No;No;No
HBjNmhfvXLvE;5ED29AF061E63B95;Customer Care POCI (PEGA);Production;5ED29B0A61E653A3;Application System Structure Diagram-2;F3D105D45ED68056;ESB Pega Int -> AUX [WS REST];bjx2sYngSneF;5ED29AED61E6391A;Authentic;TVYFFFKhTjHG;5ED29AEC61E637BB;ESB - Pega Int Container;No;;;;;;;;;;No;No;No
W2C5rkYUUfhM;14C02BB55E7A5ABA;Partner Card Services (PCS);Production;14C02BBC5E7A5B10;Application System Structure Diagram;9E07DCD25D63DE3A;ESB-> AUX;bjx2sYngSneF;14C02C295E7A5E97;Authentic;)L08F6ZeSTKL;14C02BD35E7A5C9B;Partner Card Services (PCS);No;;;;;;;;;WS REST;No;No;No
Ie7ruzqmXDeL;D47A4F7861C35683;3DSecure;Production;D47A4FA061C3736E;3D Secure Diagram;4F5D678E5FA94A00;Get transaction for prepaid challenge steps [SOAP];bjx2sYngSneF;D47A4EB561C35107;Authentic;DI67vt1pSHtM;D47A4F1C61C35386;ESB - 3DSecure Container;No;;;;;;;;;;No;No;No
HBjNmhfvXLvE;5ED29AF061E63B95;Customer Care POCI (PEGA);Production;5ED29B0A61E653A3;Application System Structure Diagram-2;5D1C91B568414D59;[REST] PEGA SVCS Onboarding -> CCMS;D5TQnuceSTpF;5ED29AEA61E63612;CCMS;L3gMjrdfa1wH;A029FA3467528F50;PEGA - Onboarding Service;No;;;;;;;;;WS REST;No;No;Yes
DPU8V)3xWLrX;21E63FDF60EC8755;Splunk;Production;21E63FEC60EC882D;Application System Structure Diagram;472D48CA63EF4514;Splunk Universal Forwarder;lM08ZJYeSfpI;21E63FFD60EC89BE;Splunk;D5TQnuceSTpF;472D47E363EF437F;CCMS;No;;;;;;;;;;No;No;No
7pl5)WHlZLJ2;16FC183F63BD0935;GILC Business Intelligence & Advanced Analytic Platform;Production;16FC185463BD1667;GILC Business Intelligence & Advanced Analytic Platform Diagram;06B45465669A9EC4;File Transfer via Data One;ztytFaXvZn0r;83F1A0BB66278268;DataOne - MFT;bjx2sYngSneF;71458A7267493F6F;Authentic;No;;;;;;;;;;No;No;No
f3)VxAw5c5rJ;7FF0A2BB66174F51;Partner Collaboration Tool (PCT);Production;7FF0A2EC66176BBB;Application System Structure Diagram;86269A9364144424;Operations on Business Objects;D5TQnuceSTpF;7FF0A2BC66175077;CCMS;9SFtEkbXYzkT;7FF0A2BD661750E1;Partner Collaboration Tool (PCT) - Disposition;No;;;;;;;;;WS REST;No;No;Yes
KIO(fdsmcLqL;F98469E966C35745;iCornèr Card24 MyOnlineServices App;Production;F9846AA066C39CF1;iCornèr Card24 MyOnlineServices App Diagram;EC85194062D92235;getPersondDetail;D5TQnuceSTpF;F98469E266C351BA;CCMS;2Q4eyEQZVr29;F98469E466C3530C;ICO Service Bank API (ex Java Bank API);No;;;;;;;;;WS REST;No;No;Yes
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;5D1CBDD16841DB59;[REST] PEGA SVCS Customer Care -> CCMS;D5TQnuceSTpF;ECEB275263C543F8;CCMS;E3gMF8efazkI;F3C05CEE68B05AB0;PEGA - Customer Care Service;No;;;;;;;;;WS REST;No;No;Yes
f3)VxAw5c5rJ;7FF0A2BB66174F51;Partner Collaboration Tool (PCT);Production;7FF0A2EC66176BBB;Application System Structure Diagram;053A0F8E68756B9E;CCMS Countries List detailed;D5TQnuceSTpF;7FF0A2BC66175077;CCMS;wiExkFKnZ5SI;7FF0A2BC661750A3;Partner Collaboration Tool (PCT) - eCash Service;No;;;;;;;;;;No;No;No
f3)VxAw5c5rJ;7FF0A2BB66174F51;Partner Collaboration Tool (PCT);Production;7FF0A2EC66176BBB;Application System Structure Diagram;053A0F0468756983;CCMS Info about cards, contracts, products, ...;D5TQnuceSTpF;7FF0A2BC66175077;CCMS;Kgt7ev2uXLrp;7FF0A2BC6617508E;Partner Collaboration Tool (PCT) - Online Application;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;B5C9D7475E3ACF77;Anagraphics file [FILE];pimvNa(jTfyO;4E4D519563EB384C;Pythagoras Cross Screening;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
f3)VxAw5c5rJ;7FF0A2BB66174F51;Partner Collaboration Tool (PCT);Production;7FF0A2EC66176BBB;Application System Structure Diagram;053A0F0468756983;CCMS Info about cards, contracts, products, ...;D5TQnuceSTpF;7FF0A2BC66175077;CCMS;v13gdDR6evF2;E12AEDAD68220E6F;Partner Collaboration Tool (PCT) - Product Request;No;;;;;;;;;;No;No;No
f3)VxAw5c5rJ;7FF0A2BB66174F51;Partner Collaboration Tool (PCT);Production;7FF0A2EC66176BBB;Application System Structure Diagram;DB4AFB6567296CD0;CCMS.AddAmendCommunications;D5TQnuceSTpF;7FF0A2BC66175077;CCMS;CAgQRX7AdPDI;DB4AF715672969F1;Partner Collaboration Tool (PCT) - Customer;No;;;;;;;;;;No;No;No
MNAT7tNlTDDZ;74A57DC75DBD8CD3;CLM Onboarding (PEGA);Production;74A57E095DBD8D48;CLM Onboarding (PEGA) Diagram;DD9CFCEB5F171F08;New Customers [MQ];TVYFFFKhTjHG;74A57E545DBD8ECD;ESB - Pega Int Container;D5TQnuceSTpF;74A580F15DBDA075;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;92E4E18E64058FA8;Exception File Update (0302) [TCP/IP];w5TQUyceSL7G;486D6A4263E342DF;Mastercard MIP;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS TCP/IP;Yes;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A437B75FD74861;PIN Translate OUT;D5TQnuceSTpF;ECEB275263C543F8;CCMS;uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A438045FD74E30;PIN Decrypt [WS];uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A437965FD74672;Generate CVV [WS];uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A437CA5FD74A50;PIN Translate IN [WS];uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A4396A5FD75246;Generate Hash Value [WS];uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A437E75FD74C41;Generate PIN Block [WS];uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;33A4394A5FD75055;Generate PVV [WS];uK08C1ZeSL4L;570B836A63E3A0B9;Thales PayShield HSM;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;472D48CA63EF4514;Splunk Universal Forwarder;lM08ZJYeSfpI;7DC9B76564F171F9;Splunk;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;;No;No;No
O7zk3wjkTzLT;BBD1DE835DBA755F;Collection (PEGA);Production;BBD1DE8B5DBA75BC;Collection PEGA System Diagram;F3D105D45ED68056;ESB Pega Int -> AUX [WS REST];bjx2sYngSneF;BBD1E4305DBA8731;Authentic;TVYFFFKhTjHG;BBD1DEB45DBA76D8;ESB - Pega Int Container;No;;;;;;;;;;No;No;No
pPSaz5RMWrFE;91C6B17D605938FD;Cornèr Public Sites;Production;DABAE8CC60592EC4;Cornèr Public Sites Diagram;1F582F2D674853CA;CCMS.createContractRequest;D5TQnuceSTpF;FFF92774675099A3;CCMS;L3gMjrdfa1wH;FFF9251E67509798;PEGA - Onboarding Service;No;;;;;;;;;WS REST;No;No;Yes
