application_id;application_hex_id;application_name;technology_id;technology_hex_id;technology_name
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;nRq64mXKSfA6;1B461C045C5218AA;Active MQ
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;XERP6rMIS9)F;65B36D465C493FF2;Apache Tomcat 8.5
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;Kobu(b)uSrpO;E25CF97E5CE3633D;IBM MQ 9.3.5.1
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;3uqONcOgT117;634E89975DA91C10;Java
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;2Pq6VmXKS1E6;1B461C1F5C5218E0;JRE 1.8
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;cPq6emXKSjF6;1B461C285C5218FB;Oracle 19-1
D5TQnuceSTpF;69D16E315CA23F37;CCMS;ZE2sQ015WXiG;D823101A601442C8;Apache Kafka
D5TQnuceSTpF;69D16E315CA23F37;CCMS;Kobu(b)uSrpO;E25CF97E5CE3633D;IBM MQ 9.3.5.1
D5TQnuceSTpF;69D16E315CA23F37;CCMS;3uqONcOgT117;634E89975DA91C10;Java
D5TQnuceSTpF;69D16E315CA23F37;CCMS;snbu1c)uSfHP;E25CF9815CE3651A;WebSphere Application Server
