id;hex_id;name;environment;cluster_name;domain;fqdn;pci_tier;vlan
tQEDtT3MYziP;34E63777625866CF;neviXXXXXXXXtest.corner.local;ittest;neviXXXXXXXX;itteXXXXXXXX;neviXXXXXXXXtest.corner.local;3;1XX1
yQEDyU3MYXMZ;34E637BC62588D68;dkrdXXXXXXXXerbanca.local;prod;dkrdXXXXXXXX;prodXXXXXXXX;dkrdXXXXXXXXerbanca.local;1;2XX2
XPEDaX3MY1Jm;34E638646258C130;dkr-XXXXXXXXner.local;ittest;dkr_XXXXXXXX;itteXXXXXXXX;dkr-XXXXXXXXner.local;3;1XX0
mOEDdb3MYnCy;34E639676258F0CC;pc86XXXXXXXX;dev;dynwXXXXXXXX;testXXXXXXXX;pc86XXXXXXXX;3;2XX8
IQEDtT3MYfgP;34E63777625866AA;wp8bXXXXXXXXocal;prod;NDXXXXXXXX;holdXXXXXXXX;wp8bXXXXXXXXocal;3;6XX
bREDyU3MY5PZ;34E637BC62588D91;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;6XX
bQEDcX3MY9Nm;34E638666258C172;dtgwXXXXXXXXner.local;prod;dtgwXXXXXXXX;prodXXXXXXXX;dtgwXXXXXXXXner.local;2;6XX
TPEDeb3MYXFy;34E639686258F0F8;icm-XXXXXXXXner.group;prod;icm_XXXXXXXX;greeXXXXXXXX;icm-XXXXXXXXner.group;3;1XX7
7PEDtT3MYzbP;34E637776258665F;wt0bXXXXXXXXr.tech;ittest;NDXXXXXXXX;moonXXXXXXXX;wt0bXXXXXXXXr.tech;3;1XX2
GREDyU3MYnNZ;34E637BC62588D7C;wp0sXXXXXXXXner.group;prod;NDXXXXXXXX;greeXXXXXXXX;wp0sXXXXXXXXner.group;3;1XX7
eREDdX3MYHRm;34E638676258C1B4;ltm-XXXXXXXX.local;test;bigiXXXXXXXX;NDXXXXXXXX;ltm-XXXXXXXX.local;3;4XX3
7PEDeb3MY9Ey;34E639686258F0E2;wr0bXXXXXXXXr.ch;prep;NDXXXXXXXX;prodXXXXXXXX;wr0bXXXXXXXXr.ch;3;1XX1
fOEDuT3MYzpP;34E637786258673F;neviXXXXXXXXprod.corner.local;prod;neviXXXXXXXX;prodXXXXXXXX;neviXXXXXXXXprod.corner.local;2;2XX6
mREDyU3MYnPZ;34E637BC62588D9C;wt0sXXXXXXXXer.tech;ittest;NDXXXXXXXX;moonXXXXXXXX;wt0sXXXXXXXXer.tech;3;1XX2
LOEDeX3MY1Um;34E638686258C1E0;neviXXXXXXXXep.corner.local;prep;neviXXXXXXXX;prepXXXXXXXX;neviXXXXXXXXep.corner.local;3;2XX3
BQEDfb3MYHIy;34E639696258F124;dkr-XXXXXXXXr.local;prep;dkr_XXXXXXXX;prepXXXXXXXX;dkr-XXXXXXXXr.local;1;2XX0
YREDuT3MYblP;34E63778625866F9;wp0bXXXXXXXXer.ch;prod;NDXXXXXXXX;prodXXXXXXXX;wp0bXXXXXXXXer.ch;2;1XX2
BPEDzU3MYPVZ;34E637BD62588DF6;esx-XXXXXXXXer.local;prod;esx_XXXXXXXX;mgmtXXXXXXXX;esx-XXXXXXXXer.local;3;6XX
)REDeX3MYfSm;34E638686258C1CA;pegaXXXXXXXX.cornercard.local;prep;pegaXXXXXXXX;prepXXXXXXXX;pegaXXXXXXXX.cornercard.local;3;1XX5
uQEDgb3MY1Ly;34E6396A6258F150;dkr-XXXXXXXXr.ch;prep;dkr_XXXXXXXX;prodXXXXXXXX;dkr-XXXXXXXXr.ch;1;1XX1
