id,hex_id,name
rWLamfSgTHAQ,9158CA705DA968A4,Spring 3.2
nZLakfSgTHcP,9158CA6E5DA96664,Spring Boot
fnbuzb)uSDnO,E25CF97D5CE36313,Microsoft SharePoint
0vqONcOgTvq6,634E89975DA91B4E,Cobol
bvqONcOgTDt6,634E89975DA91B73,Cobol EGL
Ai5)w80OS5aU,FC5B023A5C607A41,DB2 for Z/OS
3uqONcOgT117,634E89975DA91C10,Java
4WLamfSgTD7Q,9158CA705DA96873,Fuse ESB 6.x
Kobu(b)uSrpO,E25CF97E5CE3633D,IBM MQ 9.3.5.1
Gmbu)b)uSXxO,E25CF97F5CE363B8,PostgreSQL
C4W(g10vS1)T,FA01006A5CE477F0,WebSphere Liberty
Fmbuyb)uSjhO,E25CF97C5CE362BB,Inspire
UAVewcXKWrVY,A1F219BA605289FD,AutoHotkey
Kd6ZnPvsT5u7,8C6996715DDB1F81,.NET
5zahKIBbTH)6,AE4FB4945D941BF4,Hopex v4
lXBzyW)sTLZ8,F4B8F83C5DDB2235,Microsoft IIS
lvqOOcOgTj77,634E89985DA91C7B,Microsoft SQL Server
hxqOMcOgTjl6,634E89965DA91AFB,C#
OvqOOcOgTH67,634E89985DA91C64,Microsoft Access Database
bwqOMcOgTLh6,634E89965DA91AB5,ASP.NET
yZX2zhHnVT5I,0A181AFD5FC54857,FIDO 1.1
uW0CD(J2WrfB,30083F8D60092E9D,Guardsquare (Sec Hardening Mobile)
xWX2oiHnVzLI,0A181B325FC5495F,Native Android App
XYX2SiHnVnDI,0A181B1C5FC548DC,Native IOS App
kwqOPcOgTXR7,634E89995DA91DB8,Python
h)nXs(kqdnvo,871FEFB667D2CB9C,OpenJDK
KxqONcOgT9(6,634E89975DA91BE2,HTML 4
hMlN3ScYSDQP,5EF567035C8A65A3,HTML 5
OuqONcOgTL27,634E89975DA91C25,Javascript
uXLalfSgTb(P,9158CA6F5DA967E9,OpenCMS 10.5
Zw)zVhVLVDlB,F7FEFADF5F552EF3,Tufin Secure Track
zu)zyhVLVzsB,F7FEFAFC5F552F6F,Tufin SecureChange
EKlNxhcYSPWQ,5EF56AFB5C8A6A06,Spring
KbpIZfLUbfo2,4B395A6365790B2A,Opensearch
D8BMscbCVjFQ,58B259B65F3268FB,Hortonwork Data Platform (HDP)
zuqOMcOgTra6,634E89965DA91A4D,.NET 4.6
(nEBb4JFUnGQ,2CEC31255E3D690C,Docker
zoEBb4JFUjKQ,2CEC31255E3D694B,Kubernetes
ymbuvb)uSrEO,E25CF9795CE360ED,Antivirus F-Secure
2uqONcOgT1n6,634E89975DA91B10,C++
39DjfNB(dPcM,B4D2B5E967F85A66,Bash
